distance,rssiBLE,rssi24,freq24,rssi5,freq5,y
50,-52,-30,2447,-39,5220,very_close
50,-47,-32,2437,0,0,very_close
50,-43,-30,2427,-38,5240,very_close
50,-44,-38,2422,0,0,very_close
50,-47,-31,2427,0,0,very_close
50,-47,-31,2432,0,0,very_close
50,-51,-30,2422,0,0,very_close
50,-46,-31,2437,0,0,very_close
50,-49,-38,2457,0,0,very_close
50,-45,-70,2467,0,0,very_close
50,-52,-30,2447,0,0,very_close
50,-44,-31,2442,0,0,very_close
50,-47,-30,2427,0,0,very_close
50,-35,-32,2432,0,0,very_close
50,-51,-73,2442,0,0,very_close
50,-44,-36,2467,0,0,very_close
50,-52,-31,2412,0,0,very_close
50,-39,-32,2427,-38,5240,very_close
50,-31,-30,2442,0,0,very_close
50,-46,-34,2432,0,0,very_close
50,-47,-73,2437,0,0,very_close
50,-47,-28,2457,0,0,very_close
50,-47,-38,2467,0,0,very_close
50,-43,-65,2447,0,0,very_close
50,-51,-38,2472,0,0,very_close
50,-51,-31,2442,0,0,very_close
50,-44,-30,2417,0,0,very_close
50,-45,-30,2452,0,0,very_close
50,-50,-31,2422,-38,5220,very_close
50,-47,-29,2422,0,0,very_close
50,-46,-31,2422,0,0,very_close
50,-47,-38,2432,0,0,very_close
50,-52,-33,2457,-36,5580,very_close
50,-46,-32,2437,0,0,very_close
50,-47,-75,2442,0,0,very_close
50,-51,-38,2432,0,0,very_close
50,-46,-32,2422,0,0,very_close
50,-46,-32,2437,0,0,very_close
50,-44,-38,2462,0,0,very_close
50,-46,-31,2452,0,0,very_close
50,-47,-36,2472,0,0,very_close
50,-51,-29,2417,0,0,very_close
50,-48,-31,2437,0,0,very_close
50,-44,-38,2422,0,0,very_close
50,-47,-27,2417,0,0,very_close
50,-45,-31,2417,0,0,very_close
50,-47,-64,2447,0,0,very_close
50,-50,-72,2452,0,0,very_close
50,-46,-66,2452,0,0,very_close
50,-52,-30,2442,0,0,very_close
50,-43,-73,2437,0,0,very_close
50,-45,-31,2422,0,0,very_close
50,-47,-73,2437,0,0,very_close
50,-46,-39,2467,0,0,very_close
50,-47,-31,2427,0,0,very_close
50,-52,-74,2442,0,0,very_close
50,-50,-31,2437,0,0,very_close
50,-63,-33,2432,0,0,very_close
50,-52,-33,2467,0,0,very_close
50,-44,-30,2427,0,0,very_close
50,-47,-39,2472,0,0,very_close
50,-44,-29,2422,0,0,very_close
50,-45,-32,2422,0,0,very_close
50,-51,-39,2472,0,0,very_close
50,-47,-30,2422,0,0,very_close
50,-44,-30,2427,0,0,very_close
50,-46,-37,2422,-38,5220,very_close
50,-47,-27,2432,0,0,very_close
50,-49,-31,2417,0,0,very_close
50,-47,-31,2447,0,0,very_close
50,-44,-31,2462,0,0,very_close
50,-47,-39,2462,-36,5600,very_close
50,-47,-38,2472,0,0,very_close
50,-47,-31,2427,0,0,very_close
50,-47,-39,2472,0,0,very_close
50,-45,-30,2417,0,0,very_close
50,-47,-28,2437,0,0,very_close
50,-63,-74,2442,0,0,very_close
50,-31,-31,2422,0,0,very_close
50,-43,-30,2417,0,0,very_close
50,-47,-38,2467,0,0,very_close
50,-51,-36,2467,0,0,very_close
50,-46,-37,2467,0,0,very_close
50,-47,-40,2472,0,0,very_close
50,-47,-66,2417,0,0,very_close
50,-45,-38,2462,0,0,very_close
50,-51,-38,2412,0,0,very_close
50,-50,-30,2422,0,0,very_close
50,-51,-31,2432,-36,5580,very_close
50,-49,-31,2442,0,0,very_close
50,-46,-37,2467,0,0,very_close
50,-46,-74,2467,0,0,very_close
50,-47,-31,2432,0,0,very_close
50,-47,-30,2442,-36,5600,very_close
50,-45,-30,2437,0,0,very_close
50,-47,-31,2442,0,0,very_close
50,-46,-30,2417,0,0,very_close
50,-47,-32,2437,0,0,very_close
50,-45,-31,2462,0,0,very_close
50,-47,-65,2457,0,0,very_close
50,-63,-38,2457,0,0,very_close
50,-47,-31,2417,0,0,very_close
50,-51,-73,2437,0,0,very_close
50,-51,-39,2432,0,0,very_close
50,-31,-36,2467,0,0,very_close
50,-47,-30,2422,0,0,very_close
50,-52,-30,2457,-36,5600,very_close
50,-43,-38,2472,0,0,very_close
50,-46,-73,2437,0,0,very_close
50,-45,-65,2452,0,0,very_close
50,-47,-68,2457,0,0,very_close
50,-48,-31,2442,0,0,very_close
50,-50,-31,2422,-39,5220,very_close
50,-43,-65,2447,0,0,very_close
50,-47,-32,2412,-36,5600,very_close
50,-47,-84,2452,0,0,very_close
50,-51,-68,2447,0,0,very_close
50,-47,-31,2432,0,0,very_close
50,-51,-29,2442,0,0,very_close
50,-47,-38,2437,0,0,very_close
50,-46,-32,2427,0,0,very_close
50,-44,-30,2422,0,0,very_close
50,-44,-68,2447,0,0,very_close
50,-47,-36,2472,0,0,very_close
50,-31,-33,2427,0,0,very_close
50,-51,-30,2427,0,0,very_close
50,-51,-30,2447,-38,5220,very_close
50,-35,-34,2462,0,0,very_close
50,-50,-32,2437,-36,5620,very_close
50,-45,-74,2442,0,0,very_close
50,-47,-32,2412,0,0,very_close
50,-50,-30,2447,0,0,very_close
50,-44,-32,2427,0,0,very_close
50,-46,-83,2442,0,0,very_close
50,-51,-35,2462,0,0,very_close
50,-46,-39,2457,0,0,very_close
50,-47,-29,2422,0,0,very_close
50,-52,-32,2417,0,0,very_close
50,-47,-38,2437,0,0,very_close
50,-47,-29,2452,0,0,very_close
50,-46,-32,2437,0,0,very_close
50,-51,-38,2467,-37,5180,very_close
50,-50,-31,2432,0,0,very_close
50,-47,-32,2427,0,0,very_close
50,-47,-31,2422,0,0,very_close
50,-51,-30,2412,0,0,very_close
50,-47,-30,2422,0,0,very_close
50,-47,-34,2462,0,0,very_close
50,-35,-31,2447,0,0,very_close
50,-45,-30,2417,0,0,very_close
50,-48,-37,2427,0,0,very_close
50,-49,-38,2457,0,0,very_close
50,-46,-76,2447,0,0,very_close
50,-47,-34,2462,0,0,very_close
50,-47,-35,2472,0,0,very_close
50,-45,-72,2467,-38,5180,very_close
50,-47,-31,2422,0,0,very_close
50,-47,-30,2422,0,0,very_close
50,-44,-33,2467,0,0,very_close
50,-52,-31,2432,0,0,very_close
50,-48,-75,2442,0,0,very_close
50,-51,-32,2422,0,0,very_close
50,-63,-38,2422,0,0,very_close
50,-47,-30,2422,0,0,very_close
50,-44,-38,2432,0,0,very_close
50,-44,-31,2427,0,0,very_close
50,-62,-31,2427,0,0,very_close
50,-63,-31,2422,0,0,very_close
50,-44,-29,2442,0,0,very_close
50,-43,-73,2437,0,0,very_close
50,-50,-34,2462,0,0,very_close
50,-45,-31,2422,0,0,very_close
50,-47,-32,2422,0,0,very_close
50,-44,-30,2422,0,0,very_close
50,-50,-31,2462,0,0,very_close
50,-47,-31,2432,0,0,very_close
50,-48,-31,2432,0,0,very_close
50,-48,-31,2437,0,0,very_close
50,-50,-72,2437,0,0,very_close
50,-51,-75,2447,-38,5200,very_close
50,-47,-29,2447,0,0,very_close
50,-45,-32,2427,0,0,very_close
50,-51,-38,2412,0,0,very_close
50,-51,-34,2462,0,0,very_close
50,-47,-31,2427,-38,5560,very_close
50,-46,-26,2452,0,0,very_close
50,-47,-31,2422,0,0,very_close
50,-47,-74,2422,0,0,very_close
50,-49,-32,2417,0,0,very_close
50,-43,-73,2467,0,0,very_close
50,-44,-34,2462,-38,5180,very_close
50,-44,-31,2427,0,0,very_close
50,-51,-36,2472,0,0,very_close
50,-52,-72,2422,0,0,very_close
50,-46,-32,2412,0,0,very_close
50,-52,-31,2462,0,0,very_close
50,-51,-65,2447,0,0,very_close
100,-47,-76,2427,0,0,very_close
100,-47,-26,2467,-44,5180,very_close
100,-47,-27,2427,-39,5580,very_close
100,-21,-67,2442,0,0,very_close
100,-44,-27,2422,0,0,very_close
100,-45,-29,2422,-44,5240,very_close
100,-33,-74,2442,0,0,very_close
100,-34,-30,2422,0,0,very_close
100,-44,-75,2457,0,0,very_close
100,-47,-30,2412,-41,5620,very_close
100,-47,-28,2467,0,0,very_close
100,-45,-75,2422,0,0,very_close
100,-47,-67,2437,-41,5620,very_close
100,-45,-26,2447,0,0,very_close
100,-44,-30,2452,-44,5240,very_close
100,-47,-74,2462,0,0,very_close
100,-45,-28,2422,-42,5220,very_close
100,-47,-75,2442,-39,5580,very_close
100,-47,-76,2437,0,0,very_close
100,-45,-27,2417,0,0,very_close
100,-44,-72,2442,0,0,very_close
100,-44,-28,2417,0,0,very_close
100,-45,-65,2462,0,0,very_close
100,-44,-27,2427,0,0,very_close
100,-44,-28,2457,-38,5580,very_close
100,-45,-76,2432,0,0,very_close
100,-26,-66,2452,-39,5580,very_close
100,-44,-26,2467,0,0,very_close
100,-44,-73,2442,-44,5180,very_close
100,-47,-27,2417,0,0,very_close
100,-47,-75,2437,0,0,very_close
100,-47,-66,2457,0,0,very_close
100,-45,-27,2422,0,0,very_close
100,-47,-29,2437,0,0,very_close
100,-45,-75,2427,0,0,very_close
100,-44,-27,2417,-39,5580,very_close
100,-47,-77,2412,0,0,very_close
100,-45,-76,2432,-40,5600,very_close
100,-47,-26,2442,0,0,very_close
100,-45,-67,2442,0,0,very_close
100,-45,-64,2467,0,0,very_close
100,-45,-26,2447,0,0,very_close
100,-44,-75,2417,0,0,very_close
100,-45,-77,2427,0,0,very_close
100,-47,-28,2417,-39,5580,very_close
100,-47,-26,2447,0,0,very_close
100,-47,-26,2462,0,0,very_close
100,-47,-27,2467,-44,5180,very_close
100,-47,-75,2452,0,0,very_close
100,-47,-29,2427,0,0,very_close
100,-20,-74,2447,0,0,very_close
100,-47,-38,2412,-44,5180,very_close
100,-44,-26,2462,0,0,very_close
100,-44,-27,2457,0,0,very_close
100,-44,-74,2452,-42,5200,very_close
100,-48,-29,2437,0,0,very_close
100,-32,-29,2467,-44,5180,very_close
100,-44,-27,2442,-41,5620,very_close
100,-47,-67,2452,-42,5200,very_close
100,-44,-28,2427,0,0,very_close
100,-44,-23,2442,0,0,very_close
100,-33,-66,2452,-44,5240,very_close
100,-45,-65,2437,-41,5620,very_close
100,-47,-27,2442,0,0,very_close
100,-45,-29,2472,0,0,very_close
100,-47,-66,2447,0,0,very_close
100,-47,-74,2452,0,0,very_close
100,-44,-75,2462,0,0,very_close
100,-47,-76,2412,0,0,very_close
100,-44,-29,2417,0,0,very_close
100,-44,-75,2462,-40,5600,very_close
100,-20,-66,2412,-44,5180,very_close
100,-47,-74,2467,0,0,very_close
100,-47,-65,2462,-40,5600,very_close
100,-44,-27,2457,0,0,very_close
100,-20,-66,2462,0,0,very_close
100,-50,-75,2452,0,0,very_close
100,-44,-66,2457,-44,5240,very_close
100,-47,-26,2467,0,0,very_close
100,-44,-27,2472,-44,5180,very_close
100,-47,-27,2432,0,0,very_close
100,-47,-72,2472,0,0,very_close
100,-45,-75,2442,-44,5180,very_close
100,-44,-28,2467,0,0,very_close
100,-47,-73,2442,-40,5600,very_close
100,-44,-27,2432,0,0,very_close
100,-45,-74,2442,-44,5180,very_close
100,-44,-28,2422,-41,5620,very_close
100,-47,-29,2437,-39,5580,very_close
100,-31,-72,2442,-46,5180,very_close
100,-44,-28,2437,-40,5600,very_close
100,-45,-75,2462,0,0,very_close
100,-45,-30,2467,-44,5180,very_close
100,-45,-72,2472,0,0,very_close
100,-44,-66,2457,-39,5580,very_close
100,-45,-76,2422,-42,5220,very_close
100,-47,-27,2427,-44,5240,very_close
100,-47,-75,2437,-44,5180,very_close
100,-44,-67,2442,0,0,very_close
100,-47,-29,2422,-42,5220,very_close
100,-44,-76,2457,-39,5580,very_close
100,-45,-27,2467,-44,5180,very_close
100,-44,-66,2442,0,0,very_close
100,-45,-67,2442,0,0,very_close
100,-47,-30,2412,0,0,very_close
100,-44,-75,2457,0,0,very_close
100,-20,-30,2412,0,0,very_close
100,-47,-76,2452,-44,5240,very_close
100,-47,-73,2472,0,0,very_close
100,-44,-29,2422,-42,5220,very_close
100,-47,-27,2427,-44,5240,very_close
100,-45,-75,2422,-44,5240,very_close
100,-49,-27,2422,-42,5220,very_close
100,-47,-30,2447,-42,5200,very_close
100,-45,-72,2442,0,0,very_close
100,-47,-32,2442,0,0,very_close
100,-47,-66,2412,0,0,very_close
100,-44,-75,2442,0,0,very_close
100,-45,-66,2447,0,0,very_close
100,-44,-66,2412,-44,5180,very_close
100,-45,-66,2437,0,0,very_close
100,-44,-65,2462,0,0,very_close
100,-47,-28,2417,0,0,very_close
100,-47,-74,2442,-44,5180,very_close
100,-44,-67,2442,0,0,very_close
100,-47,-27,2432,-41,5620,very_close
100,-44,-65,2422,0,0,very_close
100,-47,-28,2427,-44,5240,very_close
100,-44,-76,2432,0,0,very_close
100,-44,-28,2437,-40,5600,very_close
100,-44,-28,2462,-38,5540,very_close
100,-48,-67,2442,0,0,very_close
100,-44,-27,2427,0,0,very_close
100,-47,-27,2462,0,0,very_close
100,-47,-66,2452,0,0,very_close
100,-47,-67,2447,0,0,very_close
100,-47,-29,2427,-44,5240,very_close
100,-47,-28,2422,0,0,very_close
100,-32,-66,2442,0,0,very_close
100,-44,-65,2452,0,0,very_close
100,-45,-27,2447,0,0,very_close
100,-45,-75,2437,-44,5180,very_close
100,-44,-67,2452,-44,5240,very_close
100,-47,-27,2427,0,0,very_close
100,-44,-73,2442,0,0,very_close
100,-45,-76,2427,0,0,very_close
100,-47,-27,2437,0,0,very_close
100,-44,-65,2412,0,0,very_close
100,-47,-29,2422,0,0,very_close
100,-33,-65,2452,-40,5600,very_close
100,-44,-27,2422,-42,5220,very_close
100,-50,-77,2422,-40,5600,very_close
100,-47,-67,2437,0,0,very_close
100,-44,-31,2437,-40,5600,very_close
100,-44,-29,2472,-44,5180,very_close
100,-44,-27,2417,-39,5580,very_close
100,-44,-31,2437,0,0,very_close
100,-47,-28,2422,0,0,very_close
100,-44,-26,2472,0,0,very_close
100,-27,-28,2427,-44,5240,very_close
100,-44,-24,2422,-42,5200,very_close
100,-44,-67,2437,0,0,very_close
100,-47,-26,2447,-42,5200,very_close
100,-44,-31,2462,-38,5540,very_close
100,-45,-26,2472,0,0,very_close
100,-47,-28,2432,0,0,very_close
100,-45,-28,2437,-40,5600,very_close
100,-47,-73,2442,0,0,very_close
100,-47,-75,2422,0,0,very_close
100,-47,-76,2442,0,0,very_close
100,-47,-27,2412,-39,5580,very_close
100,-45,-26,2467,0,0,very_close
100,-45,-27,2422,0,0,very_close
100,-47,-67,2447,0,0,very_close
100,-45,-76,2447,-39,5580,very_close
100,-45,-29,2427,-42,5240,very_close
100,-47,-27,2437,0,0,very_close
100,-45,-27,2462,0,0,very_close
100,-44,-27,2432,-44,5180,very_close
100,-47,-65,2437,0,0,very_close
100,-47,-27,2472,0,0,very_close
100,-45,-76,2437,0,0,very_close
100,-26,-67,2437,-42,5220,very_close
100,-47,-28,2412,-40,5600,very_close
100,-47,-65,2452,-44,5240,very_close
100,-47,-74,2442,0,0,very_close
100,-47,-65,2417,0,0,very_close
100,-47,-76,2427,0,0,very_close
100,-47,-26,2467,0,0,very_close
100,-45,-66,2452,0,0,very_close
100,-44,-66,2412,-39,5580,very_close
100,-47,-75,2447,-42,5200,very_close
100,-44,-28,2417,-42,5200,very_close
100,-47,-26,2472,0,0,very_close
100,-45,-76,2447,0,0,very_close
100,-45,-66,2412,0,0,very_close
100,-44,-28,2417,0,0,very_close
100,-47,-75,2442,0,0,very_close
100,-47,-66,2447,0,0,very_close
100,-45,-28,2422,0,0,very_close
100,-44,-74,2417,0,0,very_close
100,-47,-27,2422,0,0,very_close
100,-48,-77,2417,-44,5180,very_close
100,-44,-27,2427,0,0,very_close
100,-47,-27,2442,0,0,very_close
100,-47,-29,2472,-39,5580,very_close
100,-47,-67,2457,0,0,very_close
100,-47,-27,2467,0,0,very_close
100,-47,-74,2442,0,0,very_close
100,-44,-27,2427,-44,5240,very_close
100,-44,-27,2432,0,0,very_close
100,-47,-83,2472,0,0,very_close
100,-47,-27,2422,-42,5220,very_close
100,-47,-26,2457,-38,5560,very_close
100,-45,-67,2452,0,0,very_close
100,-44,-28,2422,-42,5220,very_close
100,-47,-29,2422,-42,5220,very_close
100,-45,-74,2452,0,0,very_close
100,-47,-66,2462,0,0,very_close
100,-44,-31,2417,-39,5580,very_close
100,-45,-27,2427,0,0,very_close
100,-47,-27,2417,-42,5200,very_close
100,-44,-65,2472,-39,5580,very_close
100,-47,-30,2422,-38,5540,very_close
100,-47,-27,2412,-44,5180,very_close
100,-44,-67,2452,0,0,very_close
100,-44,-73,2467,0,0,very_close
100,-47,-67,2452,0,0,very_close
100,-44,-30,2447,0,0,very_close
100,-47,-31,2422,0,0,very_close
100,-47,-76,2447,-42,5220,very_close
100,-47,-72,2472,0,0,very_close
100,-44,-28,2437,0,0,very_close
100,-45,-28,2462,0,0,very_close
100,-45,-68,2467,-44,5180,very_close
100,-47,-72,2442,-41,5620,very_close
100,-44,-29,2417,0,0,very_close
100,-44,-28,2472,-44,5180,very_close
100,-47,-75,2437,0,0,very_close
100,-47,-66,2442,0,0,very_close
100,-47,-31,2437,0,0,very_close
100,-47,-75,2442,-44,5180,very_close
100,-45,-31,2472,-42,5200,very_close
100,-47,-75,2447,0,0,very_close
100,-47,-28,2422,-42,5220,very_close
100,-45,-65,2467,0,0,very_close
100,-45,-75,2422,-44,5240,very_close
100,-44,-72,2442,0,0,very_close
100,-45,-75,2457,0,0,very_close
100,-47,-66,2457,0,0,very_close
100,-34,-27,2427,-39,5580,very_close
100,-44,-30,2412,-40,5600,very_close
100,-44,-27,2417,-44,5180,very_close
100,-44,-28,2467,0,0,very_close
100,-44,-27,2417,0,0,very_close
100,-50,-27,2422,-42,5220,very_close
100,-44,-26,2442,-39,5580,very_close
100,-44,-74,2462,0,0,very_close
100,-47,-65,2452,-39,5580,very_close
100,-47,-66,2412,-39,5580,very_close
100,-45,-75,2462,0,0,very_close
100,-50,-66,2412,-44,5180,very_close
100,-47,-29,2422,-42,5220,very_close
100,-45,-73,2442,0,0,very_close
100,-44,-66,2447,0,0,very_close
100,-45,-73,2467,-41,5620,very_close
100,-47,-75,2452,0,0,very_close
100,-44,-67,2437,0,0,very_close
100,-44,-28,2432,-39,5580,very_close
100,-45,-26,2462,0,0,very_close
100,-24,-74,2467,0,0,very_close
100,-45,-27,2417,-42,5200,very_close
100,-45,-28,2422,-42,5220,very_close
100,-44,-28,2462,-39,5580,very_close
100,-45,-29,2447,0,0,very_close
100,-44,-72,2417,0,0,very_close
100,-45,-27,2422,-42,5220,very_close
100,-45,-74,2452,0,0,very_close
100,-47,-28,2432,-39,5580,very_close
100,-45,-74,2442,-38,5580,very_close
100,-44,-25,2417,0,0,very_close
100,-45,-28,2422,0,0,very_close
100,-44,-27,2457,-39,5580,very_close
100,-47,-75,2452,-40,5600,very_close
100,-45,-27,2457,0,0,very_close
100,-47,-75,2452,0,0,very_close
100,-47,-75,2437,-41,5620,very_close
100,-44,-65,2462,0,0,very_close
100,-44,-73,2442,0,0,very_close
100,-47,-29,2437,-39,5580,very_close
100,-45,-66,2412,0,0,very_close
100,-47,-28,2457,-40,5600,very_close
100,-47,-67,2452,0,0,very_close
100,-44,-23,2422,0,0,very_close
100,-47,-27,2427,0,0,very_close
100,-47,-73,2472,-39,5580,very_close
100,-45,-29,2457,0,0,very_close
100,-44,-26,2442,0,0,very_close
100,-47,-70,2422,0,0,very_close
100,-47,-70,2422,-41,5620,very_close
100,-47,-67,2452,0,0,very_close
100,-47,-31,2417,0,0,very_close
100,-44,-27,2412,-40,5600,very_close
100,-27,-28,2432,0,0,very_close
100,-47,-64,2472,-40,5600,very_close
100,-44,-67,2442,0,0,very_close
100,-47,-26,2442,0,0,very_close
100,-44,-76,2432,-38,5540,very_close
100,-45,-29,2472,0,0,very_close
100,-44,-27,2427,0,0,very_close
100,-44,-73,2442,0,0,very_close
100,-45,-65,2462,0,0,very_close
100,-47,-29,2422,-38,5520,very_close
100,-47,-74,2452,0,0,very_close
100,-47,-74,2462,0,0,very_close
100,-44,-30,2457,0,0,very_close
100,-45,-25,2467,-44,5180,very_close
100,-47,-66,2452,0,0,very_close
100,-47,-74,2447,0,0,very_close
100,-45,-26,2472,0,0,very_close
100,-44,-76,2437,-39,5580,very_close
100,-45,-29,2472,-44,5180,very_close
100,-44,-75,2462,0,0,very_close
100,-45,-74,2462,0,0,very_close
100,-45,-28,2457,0,0,very_close
100,-44,-66,2447,0,0,very_close
100,-39,-26,2442,0,0,very_close
100,-47,-65,2457,0,0,very_close
100,-45,-66,2462,-39,5580,very_close
100,-44,-66,2457,0,0,very_close
100,-44,-27,2447,0,0,very_close
100,-45,-30,2422,-42,5220,very_close
100,-44,-74,2447,0,0,very_close
100,-47,-66,2457,-39,5580,very_close
100,-47,-74,2452,-44,5240,very_close
100,-47,-67,2437,0,0,very_close
100,-47,-66,2467,0,0,very_close
100,-45,-27,2457,0,0,very_close
100,-47,-65,2442,-39,5580,very_close
100,-31,-65,2442,0,0,very_close
100,-44,-27,2467,-44,5180,very_close
100,-47,-27,2457,-42,5220,very_close
100,-44,-27,2427,-44,5240,very_close
100,-47,-27,2417,-42,5200,very_close
100,-47,-27,2412,-40,5600,very_close
100,-44,-74,2457,0,0,very_close
100,-45,-74,2437,0,0,very_close
100,-44,-77,2432,0,0,very_close
100,-44,-72,2472,0,0,very_close
100,-47,-65,2457,-39,5580,very_close
100,-47,-75,2432,0,0,very_close
100,-46,-28,2427,0,0,very_close
100,-45,-26,2462,-40,5600,very_close
100,-47,-66,2442,0,0,very_close
100,-45,-31,2437,0,0,very_close
100,-47,-65,2457,0,0,very_close
100,-44,-31,2462,0,0,very_close
100,-44,-26,2472,0,0,very_close
100,-45,-27,2422,0,0,very_close
100,-44,-30,2472,-44,5180,very_close
100,-34,-27,2422,-40,5600,very_close
100,-44,-74,2442,0,0,very_close
100,-48,-29,2447,0,0,very_close
100,-47,-27,2447,-44,5180,very_close
100,-44,-75,2422,-42,5220,very_close
100,-45,-75,2462,-40,5600,very_close
100,-47,-76,2457,0,0,very_close
100,-47,-30,2417,0,0,very_close
100,-47,-66,2437,-41,5620,very_close
100,-45,-75,2457,0,0,very_close
100,-44,-65,2452,0,0,very_close
100,-44,-27,2422,0,0,very_close
100,-45,-66,2412,0,0,very_close
100,-45,-27,2467,0,0,very_close
100,-47,-72,2452,0,0,very_close
100,-48,-71,2462,-39,5580,very_close
100,-44,-65,2417,0,0,very_close
100,-44,-64,2417,0,0,very_close
100,-45,-26,2447,0,0,very_close
100,-45,-26,2447,-42,5200,very_close
100,-44,-29,2422,-42,5220,very_close
100,-47,-72,2472,-44,5180,very_close
100,-45,-67,2437,0,0,very_close
100,-44,-76,2437,0,0,very_close
100,-47,-27,2422,-39,5580,very_close
100,-45,-29,2432,0,0,very_close
100,-45,-76,2427,-38,5580,very_close
100,-45,-66,2462,0,0,very_close
100,-47,-72,2442,0,0,very_close
100,-44,-30,2412,-40,5600,very_close
100,-44,-28,2437,0,0,very_close
100,-44,-28,2472,-44,5180,very_close
100,-47,-27,2427,-44,5240,very_close
100,-44,-27,2427,0,0,very_close
100,-21,-66,2417,-44,5180,very_close
100,-47,-27,2427,0,0,very_close
100,-44,-27,2457,-39,5580,very_close
100,-44,-75,2452,-44,5240,very_close
100,-44,-27,2427,0,0,very_close
100,-45,-27,2437,-44,5180,very_close
100,-47,-75,2462,0,0,very_close
100,-45,-29,2467,-44,5180,very_close
100,-47,-28,2472,0,0,very_close
100,-47,-27,2422,0,0,very_close
100,-44,-26,2442,-41,5620,very_close
100,-47,-64,2472,-41,5620,very_close
100,-47,-65,2472,-44,5180,very_close
100,-47,-27,2427,0,0,very_close
100,-44,-72,2472,0,0,very_close
100,-47,-76,2422,0,0,very_close
100,-44,-26,2472,0,0,very_close
100,-44,-27,2457,0,0,very_close
100,-44,-66,2442,0,0,very_close
100,-47,-30,2467,0,0,very_close
100,-44,-29,2417,0,0,very_close
100,-45,-28,2422,0,0,very_close
100,-44,-66,2412,0,0,very_close
100,-45,-28,2427,0,0,very_close
100,-44,-72,2442,0,0,very_close
100,-45,-26,2447,0,0,very_close
100,-45,-27,2427,0,0,very_close
100,-47,-74,2442,-38,5560,very_close
100,-45,-29,2422,-39,5520,very_close
100,-47,-66,2442,0,0,very_close
100,-51,-27,2417,0,0,very_close
100,-44,-28,2462,0,0,very_close
100,-45,-75,2437,0,0,very_close
100,-44,-73,2472,-39,5580,very_close
100,-47,-66,2472,-44,5180,very_close
100,-47,-66,2462,0,0,very_close
100,-47,-29,2437,-39,5580,very_close
100,-45,-28,2462,0,0,very_close
100,-47,-29,2412,0,0,very_close
100,-47,-76,2427,0,0,very_close
100,-33,-26,2447,0,0,very_close
100,-44,-75,2452,0,0,very_close
100,-47,-27,2472,0,0,very_close
100,-47,-27,2412,-39,5580,very_close
100,-45,-75,2442,0,0,very_close
100,-45,-27,2422,-42,5220,very_close
100,-44,-28,2432,0,0,very_close
100,-47,-26,2467,-44,5180,very_close
100,-44,-29,2442,-41,5620,very_close
100,-44,-29,2422,0,0,very_close
100,-45,-27,2472,0,0,very_close
100,-47,-29,2462,-40,5600,very_close
100,-47,-27,2422,0,0,very_close
100,-47,-76,2457,0,0,very_close
100,-44,-27,2467,0,0,very_close
100,-44,-67,2442,0,0,very_close
100,-45,-73,2467,0,0,very_close
100,-44,-74,2432,0,0,very_close
100,-47,-27,2427,0,0,very_close
100,-47,-66,2452,0,0,very_close
100,-44,-27,2437,0,0,very_close
100,-44,-76,2442,-44,5180,very_close
100,-44,-30,2412,0,0,very_close
100,-44,-27,2422,0,0,very_close
100,-47,-74,2467,0,0,very_close
100,-44,-74,2467,-38,5580,very_close
100,-45,-75,2462,-40,5600,very_close
100,-44,-31,2437,0,0,very_close
100,-47,-27,2427,0,0,very_close
100,-44,-77,2432,-40,5600,very_close
100,-47,-65,2422,-42,5220,very_close
100,-45,-65,2452,0,0,very_close
100,-47,-66,2412,0,0,very_close
100,-45,-67,2452,0,0,very_close
100,-47,-66,2447,-42,5200,very_close
100,-47,-64,2467,0,0,very_close
100,-45,-77,2412,0,0,very_close
100,-44,-29,2412,-40,5600,very_close
100,-47,-65,2452,0,0,very_close
100,-44,-28,2457,-39,5580,very_close
100,-44,-65,2417,0,0,very_close
100,-44,-28,2457,0,0,very_close
100,-47,-27,2417,-39,5580,very_close
100,-47,-28,2447,-44,5180,very_close
100,-47,-28,2417,-39,5580,very_close
100,-45,-73,2467,0,0,very_close
100,-44,-75,2452,-41,5620,very_close
100,-47,-27,2417,0,0,very_close
100,-44,-76,2452,0,0,very_close
100,-45,-65,2412,-40,5600,very_close
100,-45,-67,2442,0,0,very_close
100,-45,-26,2447,-39,5580,very_close
100,-44,-66,2452,0,0,very_close
100,-44,-33,2412,0,0,very_close
100,-47,-29,2412,-38,5580,very_close
100,-44,-30,2447,-42,5200,very_close
100,-44,-29,2462,-38,5580,very_close
100,-47,-75,2422,0,0,very_close
100,-47,-76,2422,-44,5240,very_close
100,-47,-75,2462,0,0,very_close
100,-44,-75,2422,0,0,very_close
100,-44,-26,2452,0,0,very_close
100,-47,-74,2437,-44,5180,very_close
100,-47,-26,2452,0,0,very_close
100,-47,-74,2467,0,0,very_close
100,-44,-25,2412,0,0,very_close
100,-45,-74,2462,0,0,very_close
100,-44,-76,2457,0,0,very_close
100,-47,-27,2422,0,0,very_close
100,-45,-31,2437,0,0,very_close
100,-47,-28,2422,0,0,very_close
100,-44,-27,2467,-44,5180,very_close
100,-44,-75,2432,0,0,very_close
100,-26,-67,2437,-41,5620,very_close
100,-47,-27,2447,-44,5180,very_close
100,-44,-66,2447,-42,5200,very_close
100,-50,-66,2457,0,0,very_close
100,-47,-67,2437,0,0,very_close
100,-44,-28,2462,0,0,very_close
100,-45,-26,2472,-39,5580,very_close
100,-45,-28,2467,0,0,very_close
